Available Data and Morphometry,,,,,,,,,,,,,,,,,,,
Alaska Lake Database (ALDAT) data export 10/27/22 and 12/15/22 (https://www.adfg.alaska.gov/SF_Lakes/),,,,,,,,,,"*Date may correspond to the last time information was updated, and may not reflect when data were collected.",,**Blanks represent missing data in the lake database.,,,,,,,
SportFishRegion,ManagementArea,LakeName,Longitude_WGS84,Latitude_WGS84,SurfaceArea_h,Volume_m3,MeanDepth_m,MaximumDepth_m,ShorelineLength_km,*Most Recent Survey Date,SpeciesPreviouslyStocked,**NativeSpeciesPresent,BathymetricMap,Average of ForkLength_mm,Average of Weight_g,Count of ForkLength_mm,Count of Weight_g,Abundance,SWHS
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Tazlina Lake,-146.38734,61.94980,,,,,,7/12/1977,,"Dolly Varden, lake trout, burbot, Arctic grayling, sockeye salmon, rainbow trout, slimy sculpin, whitefish-unspecified, round whitefish",No,389,,1,,,yes
Region III,Kuskokwim-Goodnews Drainages,Telequana Lake,,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Ten Mile Lake,-145.70597,63.07104,36.42,,,12.8,,9/29/1962,sockeye salmon,"lake trout, Arctic grayling, whitefish-unspecified",No,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Tenas Lake,-147.18620,63.18550,,,,,,8/3/1993,,"lake trout, Arctic grayling",No,,,,,,
Region III,North Slope Drainages,Teshekpuk Lake,-153.52783,70.59867,81584.63,,,15.2,,8/17/1977,,"lake trout, Arctic grayling, Arctic cisco, broad whitefish, humpback whitefish, least cisco",No,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Thing Two Lake,-145.75803,63.12482,,,,6.0,,7/10/2009,,"lake trout, Arctic grayling, slimy sculpin",No,362,,16,,,
Region III,Yukon River Drainage,Timber Lake,,,,,,,,,,,,,,,,,yes
Region III,Northwest Drainages,Selby Lake,-155.67670,66.87303,1902.02,,,45.7,,7/29/1967,,"lake trout, Arctic grayling, northern pike, slimy sculpin, round whitefish",Yes,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Tonsina River (Lower Tonsina River),,,,,,,,,,,,,,,,,yes
Region III,Yukon River Drainage,Medicine Lake,-144.52191,65.49833,388.50,,,1.8,,1/1/1968,,"northern pike, broad whitefish",No,,,,,,yes
Region III,Yukon River Drainage,Old John Lake,-145.04644,68.079844,,,,23.8,,6/23/1977,,,No,,,,,,yes
Region II,Mat-Su (Susitna River Drainage),Tsusena Butte Lake,-148.51667,62.93333,76.89,,,33.5,,6/16/1977,,"lake trout, Arctic grayling, whitefish-unspecified",No,488,,8,,,
Region III,North Slope Drainages,Tukuto Lake,-157.03612,68.50066,177.66,,,7.0,,8/6/1977,,"lake trout, Arctic grayling, slimy sculpin, least cisco, round whitefish",No,,,,,,
Region III,North Slope Drainages,Tulugak Lake,-151.47501,68.28252,,,,12.2,,7/23/1981,,"lake trout, Arctic grayling, slimy sculpin, least cisco, round whitefish",Yes,,,,,,yes
Region II,Homer (Lower Kenai Peninsula),Tustumena Lake,-150.88918,60.19692,,,,,,1/0/1900,,"Dolly Varden, lake trout, stickleback-unspecified, coho salmon, pink salmon, sockeye salmon, slimy sculpin, whitefish-unspecified",Yes,,,,,,
Region III,Fairbanks (Lower Tanana River Drainage),Twin Lake East (west of Kantishna River),,,,,,,,,,,,,,,,,yes
Region III,Yukon River Drainage,Twin Lakes,,,,,,,,,,,,,,,,,yes
Region III,Yukon River Drainage,Twin Lakes (Chandalar),-149.07319,67.51637,953.03,,,57.6,,8/3/1977,,"lake trout, Arctic grayling, round whitefish",Yes,,,,,,
Region III,Delta (Upper Tanana River Drainage),Twin Lakes (N. and S.) (Meadows Road),,,,,,,,,,,,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Twin Lakes (Nabesna Road),,,,,,,,,,,,,,,,,yes
Region III,Fairbanks (Lower Tanana River Drainage),Twin Lakes (West of Kantishna River),,,,,,,,,,,,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Two Bit Lake,-145.64144,63.13471,114.7,,,19.8,,7/17/1974,,lake trout,No,354.2924757,572.4806202,824,129,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Tyone Lake,-146.69981,62.51293,388.5,,,,,6/24/1964,,"lake trout, burbot",Yes,407,655,2,2,,
Region III,North Slope Drainages,Unnamed (F-26),-148.24507,69.02418,80.94,,,26.5,,8/8/1971,,"lake trout, Arctic grayling",Yes,,,,,,
Region III,North Slope Drainages,Unnamed (Philip Smith Mountains),-149.68864,68.66434,,,,,,7/12/1975,,"lake trout, Arctic grayling",No,,,,,,
Region III,Yukon River Drainage,Unspecified lakes,,,,,,,,,,,,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Upper Landmark Gap Lake,-146.14192,63.13313,,,,20.0,,7/10/2009,,lake trout,No,220,,5,,,
Region II,Kenai (Upper Kenai Peninsula),Upper Summit Lake,-149.496868,60.637327,104.4,,,21.3,,1/0/1900,"Arctic char, Chinook salmon, lake trout, rainbow trout",Dolly Varden,Yes,506.5,2271.735,4,4,,yes
Region III,Delta (Upper Tanana River Drainage),Upper Tangle Lake,-146.06151,63.02778,151.91,"14,115,955",9.29,34.0,17.82,7/5/2022,,"lake trout, burbot, Arctic grayling, longnose sucker, round whitefish",Yes,396.91,811.0606061,200,33,,
Region II,Kenai (Upper Kenai Peninsula),Upper Trail Lake (Moose Pass),-149.37221,60.51014,710.63,,16.4,44.5,,5/23/1962,,"Dolly Varden, lake trout, chum salmon, rainbow trout, whitefish-unspecified",Yes,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Vicki Lake,-146.28422,62.58535,2.95,,,6.7,,7/25/1991,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Wait-A-Bit Lake,-145.74761,63.00832,36.42,,,20.1,,8/7/1984,,"lake trout, burbot, Arctic grayling, slimy sculpin, whitefish-unspecified",Yes,570,,1,,,
Region III,Northwest Drainages,Walker Lake,-154.35796,67.12800,3844.51,,,30.5,,7/30/1967,,"Arctic char, lake trout, Arctic grayling, northern pike, round whitefish",Yes,,,,,,yes
Region II,Mat-Su (Susitna River Drainage),Watana Lake,-148.04892,62.72930,121.41,,,9.1,,6/30/1977,,"lake trout, Arctic grayling",No,,,,,,
Region III,Kuskokwim-Goodnews Drainages,Whitefish Lake (Hoholitna),-154.87916,60.95492,3884.98,,,33.5,,7/30/1979,,"Arctic char, lake trout, Arctic grayling, northern pike, coho salmon, slimy sculpin, broad whitefish, round whitefish",Yes,,,,,,yes
Region III,Yukon River Drainage,Wild Lake,-151.57378,67.50274,951.01,,,72.2,,8/2/1967,,"lake trout, burbot, Arctic grayling, northern pike, round whitefish",No,,,,,,yes
Region III,Yukon River Drainage,Wild River,,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Wisconsin Lake,-146.18941,62.58577,80.94,,,9.1,,6/24/1967,,"lake trout, Arctic grayling, longnose sucker, whitefish-unspecified",Yes,,,,,,
Region III,Fairbanks (Lower Tanana River Drainage),Wonder Lake,,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Y Lake (Gulkana),-146.22230,62.49330,66.69,,,6.9,,1/1/1987,,"lake trout, Arctic grayling, humpback whitefish, round whitefish",Yes,,,,,,
Region III,Yukon River Drainage,Yukon River - Fort Yukon to Koyukuk River,,,,,,,,,,,,,,,,,yes
Region III,Yukon River Drainage,Yukon River drainages - Canadian border to Fort Yukon,,,,,,,,,,,,,,,,,yes
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
